crop,district,state,month,year,price,unit,source
onion,Nashik,Maharashtra,1,2019,9.32,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,2,2019,9.54,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,3,2019,10.28,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,4,2019,12.2,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,5,2019,17.24,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,6,2019,22.75,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,7,2019,17.46,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,8,2019,15.51,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,9,2019,31.45,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,10,2019,36.14,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,11,2019,41.78,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,12,2019,47.36,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,1,2020,34.54,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,2,2020,16.85,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,3,2020,14.26,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,4,2020,15.07,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,5,2020,17.63,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,6,2020,22.15,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,7,2020,23.44,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,8,2020,18.73,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,9,2020,15.81,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,10,2020,14.11,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,11,2020,10.36,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,12,2020,8.7,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,1,2021,10.09,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,2,2021,9.77,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,3,2021,11.47,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,4,2021,12.78,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,5,2021,18.1,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,6,2021,25.06,kg,AGMARKNET_synthetic
onion,Nashik,Maharashtra,7,2021,25.27,kg,AGMARKNET_synthetic
