crop,month,year,price
banana,1,2000,10.47
banana,2,2000,9.86
banana,3,2000,9.46
banana,4,2000,7.85
banana,5,2000,9.67
banana,6,2000,9.66
banana,7,2000,9.43
banana,8,2000,10.96
banana,9,2000,12.3
banana,10,2000,10.24
banana,11,2000,10.21
banana,12,2000,10.21
banana,1,2001,10.55
banana,2,2001,11.07
banana,3,2001,8.26
banana,4,2001,10.24
banana,5,2001,8.47
banana,6,2001,9.18
banana,7,2001,9.83
banana,8,2001,9.78
banana,9,2001,10.62
banana,10,2001,12.1
banana,11,2001,10.64
banana,12,2001,9.56
banana,1,2002,14.08
banana,2,2002,13.15
banana,3,2002,12.59
banana,4,2002,14.07
banana,5,2002,12.73
banana,6,2002,11.12
banana,7,2002,12.23
banana,8,2002,14.55
banana,9,2002,14.02
banana,10,2002,12.55
banana,11,2002,11.78
banana,12,2002,11.56
banana,1,2003,11.15
banana,2,2003,11.19
banana,3,2003,10.29
banana,4,2003,9.61
banana,5,2003,9.2
banana,6,2003,10.44
banana,7,2003,10.65
banana,8,2003,12.39
banana,9,2003,12.07
banana,10,2003,12.39
banana,11,2003,12.1
banana,12,2003,9.3
banana,1,2004,10.85
banana,2,2004,10.03
banana,3,2004,9.45
banana,4,2004,8.65
banana,5,2004,9.72
banana,6,2004,9.86
banana,7,2004,10.29
banana,8,2004,11.16
banana,9,2004,10.12
banana,10,2004,10.43
banana,11,2004,10.05
banana,12,2004,9.15
banana,1,2005,10.14
banana,2,2005,10.92
banana,3,2005,11.03
banana,4,2005,11.24
banana,5,2005,11.23
banana,6,2005,10.45
banana,7,2005,12.31
banana,8,2005,12.99
banana,9,2005,14.72
banana,10,2005,13.9
banana,11,2005,10.82
banana,12,2005,12.22
banana,1,2006,12.28
banana,2,2006,10.64
banana,3,2006,12.05
banana,4,2006,11.28
banana,5,2006,12.39
banana,6,2006,11.21
banana,7,2006,13.82
banana,8,2006,15.24
banana,9,2006,14.22
banana,10,2006,13.39
banana,11,2006,12.43
banana,12,2006,13.62
banana,1,2007,14.27
banana,2,2007,12.46
banana,3,2007,12.78
banana,4,2007,12.44
banana,5,2007,10.35
banana,6,2007,13.29
banana,7,2007,13.56
banana,8,2007,12.41
banana,9,2007,13.58
banana,10,2007,13.99
banana,11,2007,14.21
banana,12,2007,11.82
banana,1,2008,15.02
banana,2,2008,10.87
banana,3,2008,12.69
banana,4,2008,12.59
banana,5,2008,11.71
banana,6,2008,15.49
banana,7,2008,13.94
banana,8,2008,15.11
banana,9,2008,15.75
banana,10,2008,13.82
banana,11,2008,14.27
banana,12,2008,12.47
banana,1,2009,23.58
banana,2,2009,15.17
banana,3,2009,15.49
banana,4,2009,17.49
banana,5,2009,14.47
banana,6,2009,16.33
banana,7,2009,18.2
banana,8,2009,20.12
banana,9,2009,19.3
banana,10,2009,17.02
banana,11,2009,16.09
banana,12,2009,18.12
banana,1,2010,13.81
banana,2,2010,14.86
banana,3,2010,12.29
banana,4,2010,14.12
banana,5,2010,12.81
banana,6,2010,14.54
banana,7,2010,13.18
banana,8,2010,16.63
banana,9,2010,19.76
banana,10,2010,15.81
banana,11,2010,12.34
banana,12,2010,13.92
banana,1,2011,16.14
banana,2,2011,12.24
banana,3,2011,14.26
banana,4,2011,14.14
banana,5,2011,15.36
banana,6,2011,14.61
banana,7,2011,14.58
banana,8,2011,17.07
banana,9,2011,17.83
banana,10,2011,17.25
banana,11,2011,15.58
banana,12,2011,15.06
banana,1,2012,18.02
banana,2,2012,17.79
banana,3,2012,17.28
banana,4,2012,14.8
banana,5,2012,16.18
banana,6,2012,18.6
banana,7,2012,20.62
